date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:24	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266b11ffa-239b%22	https://themewagon.github.io/robots.txt		(from )
15:11:24	22688/22688	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff377-58a0%22	https://themewagon.github.io/orthoc/	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/index.html	(from )
15:11:25	15314/15314	---M--	200	added ('OK')	image/png	etag:%22639ff377-3bd2%22	https://themewagon.github.io/orthoc/images/favicon.png	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/favicon.png	(from https://themewagon.github.io/orthoc/)
15:11:25	192348/192348	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff377-2ef5c%22	https://themewagon.github.io/orthoc/css/bootstrap.css	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/css/bootstrap.css	(from https://themewagon.github.io/orthoc/)
15:11:25	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	D:/My%20Web%20Sites/Health2/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://themewagon.github.io/orthoc/)
15:11:26	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff377-7918%22	https://themewagon.github.io/orthoc/css/font-awesome.min.css	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/css/font-awesome.min.css	(from https://themewagon.github.io/orthoc/)
15:11:26	17412/17412	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff377-4404%22	https://themewagon.github.io/orthoc/css/style.css	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/css/style.css	(from https://themewagon.github.io/orthoc/)
15:11:26	1238/1238	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff377-4d6%22	https://themewagon.github.io/orthoc/css/responsive.css	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/css/responsive.css	(from https://themewagon.github.io/orthoc/)
15:11:27	22688/22688	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff377-58a0%22	https://themewagon.github.io/orthoc/index.html	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/index-2.html	(from https://themewagon.github.io/orthoc/)
15:11:28	8050/8050	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff377-1f72%22	https://themewagon.github.io/orthoc/about.html	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/about.html	(from https://themewagon.github.io/orthoc/)
15:11:28	929081/929081	---M--	200	added ('OK')	image/png	etag:%22639ff377-e2d39%22	https://themewagon.github.io/orthoc/images/hero-bg.png	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/hero-bg.png	(from https://themewagon.github.io/orthoc/)
15:11:28	9641/9641	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff377-25a9%22	https://themewagon.github.io/orthoc/departments.html	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/departments.html	(from https://themewagon.github.io/orthoc/)
15:11:29	10535/10535	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff377-2927%22	https://themewagon.github.io/orthoc/doctors.html	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/doctors.html	(from https://themewagon.github.io/orthoc/)
15:11:29	8394/8394	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff377-20ca%22	https://themewagon.github.io/orthoc/contact.html	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/contact.html	(from https://themewagon.github.io/orthoc/)
15:11:29	49510/49510	---M--	200	added ('OK')	image/png	etag:%22639ff377-c166%22	https://themewagon.github.io/orthoc/images/s1.png	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/s1.png	(from https://themewagon.github.io/orthoc/)
15:11:29	25696/25696	---M--	200	added ('OK')	image/png	etag:%22639ff377-6460%22	https://themewagon.github.io/orthoc/images/s2.png	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/s2.png	(from https://themewagon.github.io/orthoc/)
15:11:29	68583/68583	---M--	200	added ('OK')	image/png	etag:%22639ff377-10be7%22	https://themewagon.github.io/orthoc/images/s3.png	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/s3.png	(from https://themewagon.github.io/orthoc/)
15:11:30	22950/22950	---M--	200	added ('OK')	image/png	etag:%22639ff377-59a6%22	https://themewagon.github.io/orthoc/images/s4.png	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/s4.png	(from https://themewagon.github.io/orthoc/)
15:11:30	74412/74412	---M--	200	added ('OK')	image/jpeg	etag:%22639ff377-122ac%22	https://themewagon.github.io/orthoc/images/about-img.jpg	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/about-img.jpg	(from https://themewagon.github.io/orthoc/)
